Society_Polity,State_Formation_low,State_Formation_high,formation,Adulthood_Date,Peak_Power,Collapse_low,Collapse_high,collapse,Approx_age,age,Political_Type,Political_Sub_Type,Region,Capital,Source,Proximate_Cause,Underlying_Cause,Collapse_Tra,Notes,Relatationship,Capital_1,lat1,continent,lon1,Capital_2,lat2,lon2,Capital_3,lat3,lon3,violience_attractor,censored
Federated States of Micronesia,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Micronesia,,Correlates of War (2020),,,,,,Palikir,6.916666667,,158.15,,,,,,,,TRUE
Georgia,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Western Asia,,Correlates of War (2020),,,,,,Tbilisi,41.68333333,Asia,44.833333,,,,,,,,TRUE
Kazakhstan,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Central Asia,,Correlates of War (2020),,,,,,Astana,51.16666667,Asia,71.416667,,,,,,,,TRUE
Kyrgyzstan,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Central Asia,,Correlates of War (2020),,,,,,Bishkek,42.86666667,Asia,74.6,,,,,,,,TRUE
Latvia,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Northern Europe,,Correlates of War (2020),,,,,,Riga,56.95,Europe,24.1,,,,,,,,TRUE
Lithuania,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Northern Europe,,Correlates of War (2020),,,,,,Vilnius,54.68333333,Europe,25.316667,,,,,,,,TRUE
Marshall Islands,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Micronesia,,Correlates of War (2020),,,,,,Majuro,7.1,,171.383333,,,,,,,,TRUE
Moldova,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Chisinau,47,Europe,28.85,,,,,,,,TRUE
Tajikistan,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Central Asia,,Correlates of War (2020),,,,,,Dushanbe,38.55,Asia,68.766667,,,,,,,,TRUE
Turkmenistan,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Central Asia,,Correlates of War (2020),,,,,,Ashgabat,37.95,Asia,58.383333,,,,,,,,TRUE
Ukraine,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Kyiv,50.43333333,Europe,30.516667,,,,,,,,TRUE
Uzbekistan,1991,,1991,,,,2016,2016,25-25 years,25,Nation state,unknown,Central Asia,,Correlates of War (2020),,,,,,Tashkent,41.31666667,Asia,69.25,,,,,,,,TRUE
Bosnia and Herzegovina,1992,,1992,,,,2016,2016,24-24 years,24,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Sarajevo,43.86666667,Europe,18.416667,,,,,,,,TRUE
Croatia,1992,,1992,,,,2016,2016,24-24 years,24,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Zagreb,45.8,Europe,16,,,,,,,,TRUE
San Marino,1992,,1992,,,,2016,2016,24-24 years,24,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,San Marino,43.93333333,Europe,12.416667,,,,,,,,TRUE
Slovenia,1992,,1992,,,,2016,2016,24-24 years,24,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Ljubljana,46.05,Europe,14.516667,,,,,,,,TRUE
Andorra,1993,,1993,,,,2016,2016,23-23 years,23,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Andorra la Vella,42.5,Europe,1.516667,,,,,,,,TRUE
Czech Republic,1993,,1993,,,,2016,2016,23-23 years,23,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Prague,50.08333333,Europe,14.466667,,,,,,,,TRUE
Eritrea,1993,,1993,,,,2016,2016,23-23 years,23,Nation state,unknown,Eastern Africa,,Correlates of War (2020),,,,,,Asmara,15.33333333,Africa,38.933333,,,,,,,,TRUE
Macedonia,1993,,1993,,,,2016,2016,23-23 years,23,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Skopje,42,Europe,21.433333,,,,,,,,TRUE
Monaco,1993,,1993,,,,2016,2016,23-23 years,23,Nation state,unknown,Western Europe,,Correlates of War (2020),,,,,,Monaco,43.73333333,Europe,7.416667,,,,,,,,TRUE
Slovakia,1993,,1993,,,,2016,2016,23-23 years,23,Nation state,unknown,Eastern Europe,,Correlates of War (2020),,,,,,Bratislava,48.15,Europe,17.116667,,,,,,,,TRUE
Palau,1994,,1994,,,,2016,2016,22-22 years,22,Nation state,unknown,Micronesia,,Correlates of War (2020),,,,,,Melekeok,7.483333333,Asia,134.633333,,,,,,,,TRUE
Kiribati,1999,,1999,,,,2016,2016,17-17 years,17,Nation state,unknown,Micronesia,,Correlates of War (2020),,,,,,Tarawa,-0.883333333,,169.533333,,,,,,,,TRUE
Nauru,1999,,1999,,,,2016,2016,17-17 years,17,Nation state,unknown,Micronesia,,Correlates of War (2020),,,,,,Yaren,-0.5477,,166.920867,,,,,,,,TRUE
Tonga,1999,,1999,,,,2016,2016,17-17 years,17,Nation state,unknown,Micronesia,,Correlates of War (2020),,,,,,Nuku'alofa,-21.13333333,,-175.2,,,,,,,,TRUE
Tuvalu,2000,,2000,,,,2016,2016,16-16 years,16,Nation state,unknown,Micronesia,,Correlates of War (2020),,,,,,Funafuti,-8.516666667,,179.216667,,,,,,,,TRUE
East Timor /  Democratic Republic of Timor-Leste,2002,,2002,,,,2016,2016,14-14 years,14,Nation state,unknown,South-Eastern Asia,,Correlates of War (2020),,,,,,Dili,-8.566667,Asia,125.566667,,,,,,,,TRUE
Montenegro,2006,,2006,,,,2016,2016,10-10 years,10,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Podgorica,42.43333333,Europe,19.266667,,,,,,,,TRUE
Kosovo,2008,,2008,,,,2016,2016,8-8 years,8,Nation state,unknown,Southern Europe,,Correlates of War (2020),,,,,,Pristina,42.66666667,Europe,21.166667,,,,,,,,TRUE
South Sudan,2011,,2011,,,,2016,2016,5-5 years,5,Nation state,unknown,Northern Africa,,Correlates of War (2020),,,,,,Juba,4.85,Africa,31.616667,,,,,,,,TRUE
Minoan Civilisation,-1900,-1450,-1675,,,,-1100,-1100,350-800 years,575,State,unknown,Southern Europe,Knossos,Bennet (2016),,,,"1900BCE we begin to see palaces at Knossos, Malia etc - possible but unlikely that crete was a unified polity at this time. Near certainty that Knossos was the centre of a large polity by 1450BCE",,,,,,,,,,,,,FALSE
Chaco,1000,1030,1015,,1100,1130,1280,1205,100-280 years,190,State,unknown,North America (Southwest),"Pueblo Bonito, Chaco Canyon (1000-1090); Aztec (1090-1130)",Sebastian (2006); Brown et al. (2008);  Reed (2008); Crabtree et al. (2017),Drought,,transformation (1090) collapse (1130),"A minority view  would see Chaco as continuing post-1130 to the north in the Central Mesa Verde, and then finally collapsing 1280",,Pueblo Bonito,36.0607,Asia,107.9615,Aztec (NM),36.8222,107.9928,,,,,FALSE
Cahokia,1025,1050,1037.5,,1100,1130,1275,1202.5,80-250 years,165,State,unknown,North America (Midwest),Cahokia,Benson et al. (2009); Brennan et al. (2016); Alleen Betzenhauser personal communication (2020),"Summer droughts (negative PDSIs) centered on 1150, 1185, and 1240 (Benson et al. 2009); large flood ca. 1200 (Munoz et al. 2014); internal divisions due to rapid immigration (Emerson and Hedman 2016)",,collapse,,,Cahokia,38.5709,Asia,90.1901,,,,Seville,37.39,-5.99,,FALSE
Qin,0,0,-900,0,0,0,0,-207,,693,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Wei,0,0,-1040,0,0,0,0,-209,,831,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yue,0,0,-2032,0,0,0,0,-222,,1810,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yan,0,0,-1046,0,0,0,0,-222,,824,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Lu,0,0,-1046,0,0,0,0,-256,,790,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Song,0,0,-1040,0,0,0,0,-286,,754,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Tang,0,0,-1033,0,0,0,0,-349,,684,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Zheng,0,0,-806,0,0,0,0,-375,,431,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Jiang Qi,0,0,-1046,0,0,0,0,-386,,660,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Cai,0,0,-1046,0,0,0,0,-447,,599,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Wu,0,0,-1096,0,0,0,0,-473,,623,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Chen,0,0,-1046,0,0,0,0,-478,,568,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Cao,0,0,-1046,0,0,0,0,-487,,559,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Chu,0,0,-704,0,0,0,0,-223,,481,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Chao,0,0,-403,0,0,0,0,-222,,181,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Wei,0,0,-403,0,0,0,0,-225,,178,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Han,0,0,-403,0,0,0,0,-230,,173,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Qi,0,0,-386,0,0,0,0,-221,,165,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Feng,0,0,-1046,0,0,0,0,-1023,,23,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Fan,0,0,-827,0,0,0,0,-635,,192,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Shan,0,0,-1029,0,0,0,0,-476,,553,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Liang,0,0,-821,0,0,0,0,-641,,180,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Jing,0,0,-1046,0,0,0,0,-635,,411,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Wen,0,0,-1046,0,0,0,0,-650,,396,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Liu,0,0,-712,0,0,0,0,-455,,257,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yin,0,0,-770,0,0,0,0,-513,,257,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yin,0,0,-1046,0,0,0,0,-1040,,6,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Wang Shu,0,0,-651,0,0,0,0,-563,,88,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Gong,0,0,-1027,0,0,0,0,-516,,511,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yuan,0,0,-1046,0,0,0,0,-563,,483,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yan,0,0,-1027,0,0,0,0,-769,,258,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Mi,0,0,-1046,0,0,0,0,-919,,127,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Hu,0,0,-1027,0,0,0,0,-763,,264,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Jiao,0,0,-1046,0,0,0,0,-775,,271,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Gong,0,0,-1046,0,0,0,0,-660,,386,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Fan,0,0,-1027,0,0,0,0,-716,,311,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Eastern Guo,0,0,-1046,0,0,0,0,-767,,279,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Xie,0,0,-1046,0,0,0,0,-841,,205,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Shen,0,0,-841,0,0,0,0,-688,,153,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Lv,0,0,-2070,0,0,0,0,-688,,1382,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Kuai,0,0,-1027,0,0,0,0,-769,,258,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Dai,0,0,-1027,0,0,0,0,-713,,314,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Xi,0,0,-1122,0,0,0,0,-684,,438,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Huang,0,0,-1046,0,0,0,0,-648,,398,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Pan,0,0,-1046,0,0,0,0,-504,,542,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Guang,0,0,-1046,0,0,0,0,-650,,396,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Jiang,0,0,-1040,0,0,0,0,-623,,417,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Jiang,0,0,-1040,0,0,0,0,-617,,423,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Ji,0,0,-1040,0,0,0,0,-769,,271,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Zuo,0,0,-1040,0,0,0,0,-623,,417,unknown,unknown,China,,Xu,,,,uncertain,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yong,0,0,-1046,0,0,0,0,-623,,423,unknown,unknown,China,,Xu,,,,uncertain,,,0,Asia,0,,0,0,,0,0,0,FALSE
Dun,0,0,-1046,0,0,0,0,-496,,550,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Guan,0,0,-1046,0,0,0,0,-1040,,6,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Xu,0,0,-1046,0,0,0,0,-481,,565,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Mao,0,0,-1046,0,0,0,0,-516,,530,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Bi,0,0,-1046,0,0,0,0,-770,,276,unknown,unknown,China,,Xu,,,,uncertain,,,0,Asia,0,,0,0,,0,0,0,FALSE
Northern Rui,0,0,-1046,0,0,0,0,-640,,406,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Southern Rui,0,0,-806,0,0,0,0,-640,,166,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Xiao Guo,0,0,-770,0,0,0,0,-687,,83,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Han,0,0,-1024,0,0,0,0,-757,,267,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Hao,0,0,-1100,0,0,0,0,-700,,400,unknown,unknown,China,,Xu,,,,uncertain,,,0,Asia,0,,0,0,,0,0,0,FALSE
Mi Xu,0,0,-2070,0,0,0,0,-1000,,1070,unknown,unknown,China,,Xu,,,,uncertain,,,0,Asia,0,,0,0,,0,0,0,FALSE
Western Guo,0,0,-1046,0,0,0,0,-655,,391,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Northern Guo,0,0,-770,0,0,0,0,-655,,115,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Xun,0,0,-1046,0,0,0,0,-678,,368,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Ji,0,0,-1046,0,0,0,0,-658,,388,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Dong,0,0,-2070,0,0,0,0,-690,,1380,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Jia,0,0,-1004,0,0,0,0,-678,,326,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yang,0,0,-786,0,0,0,0,-677,,109,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Geng,0,0,-1524,0,0,0,0,-661,,863,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Wei,0,0,-1024,0,0,0,0,-661,,363,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Huo,0,0,-1046,0,0,0,0,-661,,385,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yu,0,0,-1046,0,0,0,0,-655,,391,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Dai,0,0,-228,0,0,0,0,-222,,6,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Zhu,0,0,-1046,0,0,0,0,-768,,278,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Ji,0,0,-1027,0,0,0,0,-690,,337,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Zhu,0,0,-1046,0,0,0,0,-281,,765,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Ju,0,0,-1046,0,0,0,0,-431,,615,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Shi,0,0,-781,0,0,0,0,-560,,221,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Teng,0,0,-1046,0,0,0,0,-297,,749,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Xue,0,0,-2070,0,0,0,0,-298,,1772,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Ni,0,0,-790,0,0,0,0,-325,,465,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Lan,0,0,-643,0,0,0,0,-510,,133,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Tan,0,0,-1192,0,0,0,0,-414,,778,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Cheng,0,0,-1046,0,0,0,0,-408,,638,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Su,0,0,-1046,0,0,0,0,-684,,362,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Tan,0,0,-1046,0,0,0,0,-684,,362,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Sui,0,0,-2070,0,0,0,0,-681,,1389,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Zeng,0,0,-1875,0,0,0,0,-567,,1308,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Zhang,0,0,-1046,0,0,0,0,-664,,382,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Chun Yu,0,0,-1027,0,0,0,0,-700,,327,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Gao,0,0,-1046,0,0,0,0,-646,,400,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Pi,0,0,-1600,0,0,0,0,-261,,1339,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Gen Mou,0,0,-1046,0,0,0,0,-600,,446,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Bi Yang,0,0,-1046,0,0,0,0,-563,,483,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Guo,0,0,-2600,0,0,0,0,-670,,1930,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Zhu,0,0,-1027,0,0,0,0,-470,,557,unknown,unknown,China,,Xu,,,,uncertain,,,0,Asia,0,,0,0,,0,0,0,FALSE
E,0,0,-1046,0,0,0,0,-689,,357,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Deng,0,0,-1192,0,0,0,0,-678,,514,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Quan,0,0,-1200,0,0,0,0,-704,,496,unknown,unknown,China,,Xu,,,,uncertain,,,0,Asia,0,,0,0,,0,0,0,FALSE
Lai,0,0,-1027,0,0,0,0,-581,,446,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
You,0,0,-1027,0,0,0,0,-703,,324,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Dan,0,0,-1040,0,0,0,0,-506,,534,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Ba,0,0,-1046,0,0,0,0,-316,,730,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Shu,0,0,-770,0,0,0,0,-316,,454,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Shen,0,0,-1040,0,0,0,0,-506,,534,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Liu,0,0,-1046,0,0,0,0,-622,,424,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Ying,0,0,-1046,0,0,0,0,-646,,400,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Xiao,0,0,-681,0,0,0,0,-579,,102,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Shu,0,0,-1046,0,0,0,0,-657,,389,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Shu Yong,0,0,-1046,0,0,0,0,-574,,472,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Shu Jiu,0,0,-1046,0,0,0,0,-548,,498,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Shu Liao,0,0,-1046,0,0,0,0,-601,,445,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Chao,0,0,-1046,0,0,0,0,-518,,528,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Han,0,0,-1046,0,0,0,0,-486,,560,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Zhong  Wu,0,0,-770,0,0,0,0,-518,,252,unknown,unknown,China,,Xu,,,,uncertain,,,0,Asia,0,,0,0,,0,0,0,FALSE
Yan,0,0,-770,0,0,0,0,-620,,150,unknown,unknown,China,,Xu,,,,uncertain,,,0,Asia,0,,0,0,,0,0,0,FALSE
Xing,0,0,-1040,0,0,0,0,-635,,405,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Gu Zhu,0,0,-1600,0,0,0,0,-664,,936,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Se Jiuru,0,0,-770,0,0,0,0,-588,,182,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Lu Shi,0,0,-604,0,0,0,0,-594,,10,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Wu Zhong,0,0,-1027,0,0,0,0,470,,1497,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Eastern Zhou,0,0,-367,0,0,0,0,-249,,118,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Western Zhou,0,0,-440,0,0,0,0,-256,,184,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Jin,0,0,-1033,0,0,0,0,-349,,684,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Qi,0,0,-1046,0,0,0,0,-445,,601,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Zhong Shan,0,0,-414,0,0,0,0,-296,,118,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Ju,0,0,-368,0,0,0,0,-316,,52,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Earlier Chao,0,0,304,0,0,0,0,329,,25,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Cheng Chao,0,0,304,0,0,0,0,347,,43,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Earlier Liang,0,0,314,0,0,0,0,376,,62,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Later Chao,0,0,319,0,0,0,0,351,,32,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Earlier Yan,0,0,337,0,0,0,0,370,,33,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Earlier Qin,0,0,350,0,0,0,0,394,,44,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Later Qin,0,0,384,0,0,0,0,417,,33,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Later Yan,0,0,384,0,0,0,0,407,,23,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Western Qin,0,0,385,0,0,0,0,431,,46,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Later Liang,0,0,386,0,0,0,0,403,,17,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
Southern Liang,0,0,397,0,0,0,0,414,,17,unknown,unknown,China,,Xu,,,,-,,,0,Asia,0,,0,0,,0,0,0,FALSE
